Time;Temperatura
05/12/2024 09:00;31.8 °C
05/12/2024 09:15;33.7 °C
05/12/2024 09:30;31.6 °C
05/12/2024 09:45;29.2 °C
05/12/2024 10:00;28.4 °C
05/12/2024 10:15;28.9 °C
05/12/2024 10:30;30.6 °C
05/12/2024 10:45;32.1 °C
05/12/2024 11:00;33.4 °C
05/12/2024 11:15;34.3 °C
05/12/2024 11:30;35.4 °C
05/12/2024 11:45;35.6 °C
05/12/2024 12:00;35.3 °C
05/12/2024 12:15;33.9 °C
05/12/2024 12:30;34.6 °C
05/12/2024 12:45;34.9 °C
05/12/2024 13:00;34.6 °C
05/12/2024 13:15;35.4 °C
05/12/2024 13:30;36.4 °C
05/12/2024 13:45;37.0 °C
05/12/2024 14:00;36.6 °C
05/12/2024 14:15;37.8 °C
05/12/2024 14:30;38.9 °C
05/12/2024 14:45;37.0 °C
05/12/2024 15:00;37.3 °C
05/12/2024 15:15;37.2 °C
05/12/2024 15:30;37.3 °C
05/12/2024 15:45;36.9 °C
05/12/2024 16:00;37.0 °C
05/12/2024 16:15;37.0 °C
05/12/2024 16:30;37.1 °C
05/12/2024 16:45;37.9 °C
05/12/2024 17:00;38.0 °C
05/12/2024 17:15;37.6 °C
05/12/2024 17:30;37.1 °C
05/12/2024 17:45;36.9 °C
05/12/2024 18:00;37.8 °C
05/12/2024 18:15;38.9 °C
05/12/2024 18:30;39.5 °C
05/12/2024 18:45;43.6 °C
05/12/2024 19:00;43.1 °C
05/12/2024 19:15;42.2 °C
05/12/2024 19:30;39.6 °C
05/12/2024 19:45;37.9 °C
05/12/2024 20:00;38.3 °C
05/12/2024 20:15;38.3 °C
05/12/2024 20:30;38.6 °C
05/12/2024 20:45;38.2 °C
05/12/2024 21:00;37.7 °C
05/12/2024 21:15;37.7 °C
05/12/2024 21:30;37.7 °C
05/12/2024 21:45;36.9 °C
05/12/2024 22:00;36.2 °C
05/12/2024 22:15;36.5 °C
05/12/2024 22:30;34.8 °C
05/12/2024 22:45;34.4 °C
05/12/2024 23:00;35.0 °C
